siren,nom,code_naf,code_insee,code_tranche,adresse
356000000,LA POSTE,53.10Z,38001,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS
552081317,ELECTRICITE DE FRANCE,35.11Z,38001,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS
662025196,ELIOR RESTAURATION FRANCE,56.29B,38001,53,51 CHEMIN DES MECHES 94000 CRETEIL
552120222,SOCIETE GENERALE,64.19Z,38001,53,29 BOULEVARD HAUSSMANN 75009 PARIS
412280737,SNCF RESEAU,52.21Z,38001,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS
775672272,CROIX ROUGE FRANCAISE,88.99B,38001,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS
662042449,BNP PARIBAS,64.19Z,38001,53,16 BOULEVARD DES ITALIENS 75009 PARIS
775676182,LE SOUVENIR FRANCAIS,94.99Z,38001,11,20 RUE EUGENE FLACHAT 75017 PARIS
380129866,ORANGE,61.10Z,38001,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX
632041042,COMPASS GROUP FRANCE,56.29A,38001,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF
343262622,LIDL,47.11D,38002,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY
519037584,SNCF VOYAGEURS,49.10Z,38008,53,1 RUE CAMILLE MOKE 93210 SAINT-DENIS
954509741,CREDIT LYONNAIS,64.19Z,38008,53,18 RUE DE LA REPUBLIQUE 69002 LYON
784939688,PICARD SURGELES,47.11A,38008,52,1 ROUTE MILITAIRE 77300 FONTAINEBLEAU
444608442,ENEDIS,35.13Z,38011,53,4 PLACE DE LA PYRAMIDE 92800 PUTEAUX
338253081,SODEXO SANTE MEDICO SOCIAL,56.29A,38011,52,6 RUE DE LA REDOUTE 78280 GUYANCOURT
552046955,ENGIE ENERGIE SERVICES,35.30Z,38011,53,67 RUE JULES FERRY 92250 LA GARENNE-COLOMBES
722003936,MCDONALD'S FRANCE,68.20B,38012,NN,Z I 1 RUE GUSTAVE EIFFEL 78280 GUYANCOURT
477181010,API RESTAURATION,56.29A,38012,52,384 RUE DU GENERAL DE GAULLE 59370 MONS-EN-BARŒUL
572102176,SOGERES,56.29B,38012,52,6 RUE DE LA REDOUTE 78280 GUYANCOURT
828160069,OGF SERVICES FUNERAIRES,96.03Z,38016,02,IMMEUBLE CANOPY 6 RUE DU GENERAL AUDRAN 92400 COURBEVOIE
542107651,ENGIE,35.23Z,38016,51,67 RUE JULES FERRY 92250 LA GARENNE-COLOMBES
318083110,AMPLIFON FRANCE,47.74Z,38016,42,9 BOULEVARD ROMAIN ROLLAND 75014 PARIS
345130488,CARREFOUR PROXIMITE FRANCE,77.40Z,38022,41,ZI ROUTE DE PARIS 14120 MONDEVILLE
428268023,DISTRIBUTION CASINO FRANCE,47.11F,38022,53,1 COURS ANTOINE GUICHARD 42000 SAINT-ETIENNE
503698664,FONCIA TRANSACTION FRANCE,68.31Z,38022,42,18-19 - TOUR AURORE 18 PLACE DES REFLETS 92400 COURBEVOIE
775694748,CAISSE CENTRALE ACTIVITE SOCIALE,56.29A,38022,42,BP 629 8 RUE DE ROSNY 93100 MONTREUIL
954507976,LYONNAISE DE BANQUE,64.19Z,38022,51,8 RUE DE LA REPUBLIQUE 69001 LYON
552049447,SOCIETE NATIONALE SNCF,49.10Z,38022,53,2 PLACE AUX ETOILES 93210 SAINT-DENIS
384006029,CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES,64.19Z,38022,51,116 COURS LAFAYETTE 69003 LYON
972200018,FIDUCIAL CONSULTING,82.11Z,38025,42,41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE
447818600,EVANCIA,88.91A,38026,51,60 AVENUE DE L’EUROPE 92270 BOIS-COLOMBES
531757029,CAP SUD FRANCE,43.22B,38042,NN,85 RUE CONDORCET 38090 VAULX-MILIEU
338253230,SODEXO ENTREPRISES,56.29A,38044,52,6 RUE DE LA REDOUTE 78280 GUYANCOURT
781452511,MACIF,65.12Z,38045,53,1 RUE JACQUES VANDIER 79000 NIORT
779838366,GROUPAMA RHONE ALPES AUVERGNE,65.12Z,38045,51,50 RUE DE SAINT-CYR 69009 LYON
