code_naf,libelle_naf
53.10Z,Activités de poste dans le cadre d'une obligation de service universel
35.11Z,Production d'électricité
56.29B,Autres services de restauration n.c.a.
64.19Z,Autres intermédiations monétaires
52.21Z,Services auxiliaires des transports terrestres
88.99B,Action sociale sans hébergement n.c.a.
94.99Z,Autres organisations fonctionnant par adhésion volontaire
61.10Z,Télécommunications filaires
56.29A,Restauration collective sous contrat
47.11D,Supermarchés
49.10Z,Transport ferroviaire interurbain de voyageurs
47.11A,Commerce de détail de produits surgelés
35.13Z,Distribution d'électricité
35.30Z,Production et distribution de vapeur et d'air conditionné
68.20B,Location de terrains et d'autres biens immobiliers
96.03Z,Services funéraires
35.23Z,Commerce de combustibles gazeux par conduites
47.74Z,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
77.40Z,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
47.11F,Hypermarchés
68.31Z,Agences immobilières
82.11Z,Services administratifs combinés de bureau
88.91A,Accueil de jeunes enfants
43.22B,Travaux d'installation d'équipements thermiques et de climatisation
65.12Z,Autres assurances
