nom_commune,nom,siren,code_naf,tranche_effectif,adresse,cp_entreprise,latitude,longitude,libelle_naf,libelle_tranche
GRENOBLE,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.1842,5.7155,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
GRENOBLE,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.1842,5.7155,Production d'électricité,10 000 salariés et plus
GRENOBLE,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.1842,5.7155,Autres services de restauration n.c.a.,10 000 salariés et plus
GRENOBLE,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.1842,5.7155,Autres intermédiations monétaires,10 000 salariés et plus
GRENOBLE,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.1842,5.7155,Services auxiliaires des transports terrestres,10 000 salariés et plus
GRENOBLE,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.1842,5.7155,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
GRENOBLE,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.1842,5.7155,Autres intermédiations monétaires,10 000 salariés et plus
GRENOBLE,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.1842,5.7155,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
GRENOBLE,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.1842,5.7155,Télécommunications filaires,10 000 salariés et plus
GRENOBLE,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.1842,5.7155,Restauration collective sous contrat,10 000 salariés et plus
VOIRON,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.3805,5.5869,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
VOIRON,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.3805,5.5869,Production d'électricité,10 000 salariés et plus
VOIRON,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.3805,5.5869,Autres services de restauration n.c.a.,10 000 salariés et plus
VOIRON,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.3805,5.5869,Autres intermédiations monétaires,10 000 salariés et plus
VOIRON,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.3805,5.5869,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
VOIRON,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.3805,5.5869,Autres intermédiations monétaires,10 000 salariés et plus
VOIRON,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.3805,5.5869,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
VOIRON,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.3805,5.5869,Télécommunications filaires,10 000 salariés et plus
VOIRON,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.3805,5.5869,Restauration collective sous contrat,10 000 salariés et plus
VOIRON,LIDL,343262622,47.11D,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290,45.3805,5.5869,Supermarchés,10 000 salariés et plus
VIENNE,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.5221,4.8803,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
VIENNE,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.5221,4.8803,Production d'électricité,10 000 salariés et plus
VIENNE,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.5221,4.8803,Autres services de restauration n.c.a.,10 000 salariés et plus
