nom_commune,nom,siren,code_naf,tranche_effectif,latitude,longitude,adresse,cp_entreprise
Grenoble,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Grenoble,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Grenoble,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Grenoble,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Grenoble,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
Grenoble,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
Grenoble,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Grenoble,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
Grenoble,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Grenoble,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Voiron,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Voiron,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Voiron,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Voiron,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Voiron,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
Voiron,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Voiron,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
Voiron,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Voiron,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Voiron,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Vienne,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
